30 20
N 010000000000000100000000000001000000000000000000011000010000000000000110000000010000100001100000000000010100001000000100100000001110000010000000000011101000010000000000011000000000000000000110000010000000000001100000000000110000011000000000000000000110000000000010000001100000000001000000111001000001000100001111000000000000000011111010000000000010011011010000000001100110111100000000100001101011000010011000011010011000000100001010000011000001110001100001100000001100011000110000011001100110011000000000001000000100000000010000000000000000000000000111010000000000010001100000000000000000010000001000 Hunter
N 000000000000000000100000100010000000010010001001100000010100000000000000100000000000000010010000000001111000101100000000001110001011000000000010100110010010000010011001000100001000001010010001001111000000100100010110010001000001000000100110000010010001001000100001000100010010010001111111111111111000011100111101001000100011000100010010000000110001000100100000001100010000001000000001000100010011000000011001000101000000000100010001010001000000000100010010000000000000000000100100001000110000001010000000000100000010000000001010000000110000000000000010001100000001000000000010000000000000000000000010 Milkweed
N 001000101000000000000000000011100000100000000011000110100000100001000000010000000000010000000100000010011000000001100100000010000000001000000000001000000010000000000000000001000010001000000000010000000000111000001000010000110001100010010010010100000101000000011000010001110000001010000000011010000001100000010111010001100100000011000001110110001001000000000001000010000000000000000000001000110010000010000110000000000000001001000010000100000000010010010000000000000110000010010001000001110001000000100000001000010000000001000010000000100010100000011010110000000000000101110000100001000000100000000000 ClockwiseMetamorphosis
N 000010000000100010011000100000000000000000100110000001100000000101101000011000000001000000000000000001100100000000100000110001100110011100111110011001100110011101100100000011101110001111111000011111000001111100001111110000001111111111110000100001111001110010000000011000100110000000000110011011100000011001100100011000000010011001000110000000000110011001100000000001100110010000000000011101100100000000100110011001100000100010101110011000100000011011101110000011000101011001100000000001100110011000000100001001100100000000001000011000000000010000100001000000000000001000100000001001000000000000100000 FormlessOedon
N 000010000000000000000000100000001000000000111100000010010000001001000000000011010000010000000000001100000110000000001001000000100000100110000001000110000011100000000000111111000000000000010111000000000000110110010000000000010000101110000000000000110010110101000011011010000100000000000000000001010000000001001000110000100000000000001000000000001000001110100000000000000001000010000001000000110100000010000000001000000000000000000110000010000000001001000000000000000000010001100000010000000100010001100000000001000100010000010001001111100000000010001011100000100000000000000000001000100001000000000000 Guidance
N 000010000000000000000111000011110001011010100000101100011100001000011111000001000001100001000000010010011000011010001000000011000100001000000100011001100110000000100011111111000010101100000011010010000000100011100000000000011000011000011010000110000110000110000100010001100000001000000000111000000000010000000110000000010010000001110000010000011100011000010000000110100110000110000000000001100100011010010000011000000000000001100110000010000011000001100000000000001000111010011000000010010010000111000000000011100000000100010000011000001000000000001100000000000000000101010100000000000100000001001000 Impurity
N 000000100001100000000110000011111000011000100000111100010100001110001111000101000011000001100000010010011001011010011000000011000100001100100000011001100110000000000011111111000000000000000110100010000101000001100100110000011100011000111001000110000110000111100000000011100100000000000000111000000000000100010110000010000000000001000000000000011001001000011000000010000110010111010010100101100010001000000000011000000000001000000110001000000000000001100000000001001000011010011000000010000110010110001000000000110000100011000001011010000000001000010100000100001010011001000000000000000000000000001000 Impurity
N 000010010000001000000001100011010000100000101001000010000000000000001000100000101000001001010000001000110000101101100100000110001001000000100000101010010000000000001011000111001010000000011101111100010000100000010010010000000001000101100010100010110101001000100001000100110110010001111110101101111000001110110001001000001011000100010010001000100001000010000000001101010001011000000001000101010010000000010001000101000000000100010010010000000000000100010110000100000000000000100001001100010000001000000000000100000010000100100000000000100000110010001000001001000100000001010000000000000000111000000100 Milkweed
N 100001100000000000001000001001110000000000111001100011000010100000100000001000001000001100000010000100000100000000010000000001000000000100000000010000001000000000000010000000000000000000100000000100000010000100000111000001100001000110001100101000110010000000101000000011000000000110010001010010000001010001100010000000010011100010000000001000000000000010000000000000000000100010001000000010010100000000000000000001000000000000000000101000000000000000000010000000000100000000100000000001000100001001000001000000000100001100000100000001001010100000010001000000000000001011100000000000000000001010000010 Anti-ClockwiseMetamorphosis
N 011000001100001000000000000010000000010000000000100000000000100000001000100000000000000010010000000010110000101100011100011110101001000000001000100110010001000000001001000110001000110110010001011110000000000101111110010000001011010100100000000010010000001010110011000100010010010101111111111111111000001100100001001000100010000100010000000100110001001100100000001000000001001000001001100100010010000000010001000101000000000100010001010000001000000110010011000010010001000000100000000100010000001000000000000100000110000001000000000000100000000000000100001000000110000000000000000000010000000000100000 Milkweed
N 010000000000100000000110000011110000001100100100111100100000001000000111000001000011000001110000110000011000011000110111000011000010001100000101011001100110100010000011111111000000000000000110000000000000000001000010000010001000011010001000000110100110000110000001100000100000000000000000011000100000000010000110000000001000000001100000010000011000011000011000010110100010000110010000010001100000000000000000011010100000000000000110000001010000000001100000001011011000011100011000000110000010000100000010100001110000001000100000011000000000000001000100000010100000010001000000000000000000000000000000 Impurity
N 000000000000000000000001100100100001100000110000010000110000001000000000000010000000010000000000101001000010000000001100000000100000000100000000000111000111000000100000111111000000000000010110000100000000001011011000000001000101101010100000000000010000100100000001111000000100000110010000000001000100100000000000110001000100000001101000100000000000000110010000100000100001000000000010000100110000000001000000000000000000010001010011000000000000010001001000000000000110010000000000000000000100010000101000010011000100000000000000001111000000100000000011110011000001000100000000000000000100000011000000 Guidance
N 000000000001000000000101000000010000001000100110000001100000011101100100011010000000000000000010000000000000000000001000110001110101011000111110001001100100011101110110000001001010001111100000111001000001011100001011100000001111111111110000000011100111111000000100011001110110100000001110011001100000000001100110011000000001011001100110000000000101010000000000010101100110011000010000011001000110000001000110010001000000001001100110111000001000011001100100000000000110011101100000000101100110010000000000001001100100000000001001001001000000000000000110000000010000000000000000000000000000010000000000 FormlessOedon
N 000010010000000000000000000011000000000000000001100010000110000000001000100000000000000010110000000000110001100100010000101010011001000000000010100000010000000000001011000100000000001010010001011110000000100100010010010000001001000100100010000010010011000000100011100100010110010000111111111101111000001101110011001000000011000000010101000000110001000100100000001110010001001010000001000100010010100000010001000111000000000100001001010001001010000100010110010100000000000001100000000001010001001000000000000100000010000000001010000000100000010100000100001000001000000000000010000000000000000011000010 Milkweed
N 000100100000000000000000000001000000000000000000011000000000010000000111000110010000000001100000000010001000011000010000100000000110000001000100000011100000000000000000011000010000100000000100000001000100100011000100000100000000011100010000100000000110000000000000000001100000000001000000111100000000000010001111000000000000100111111000010000000011111111100010001001100110011010100000110001100010000000011000011000011000101100010110000111000000000101101001100000001100011000110000010111101110011000000000101000100100001001000000010000000010000000000110000000000000000001110101000011000100000100001100 Hunter
