30 20
M 000000000000000000000001100000000000000000110000000000010000001000000000000010000000010000000000100000000110000000001000000000110000000110000000000110000111000000000000111111000000000000000111000000000000000011010000000000000001100110000000000000110000110000000011111000000100000000000000000001000000000000000000110000000000000000001000000000000000000110000000000000000001000000000000000000110000000000000000001000000000000000000110000000000000000001001000000000000000010001000000000000000100010000000000000001000100000000000000011011000000000000000011100000000000000000000000000000000000000000000000 Guidance
M 000000000000000000000000000011000000000000000000011000000000000000000110000000000000000001100000000000000000011000000000000000000110000000000000000001100000000000000000011000000000000000000110000000000000000001100000000000000000011000000000000000000110000000000000000001100000000000000000011000000000000000001111000000000000000111111000000000000011011011000000000001100110011000000000110001100011000000011000011000011000001100000110000011000001100001100001100000001100011000110000000001100110011000000000001000000100000000000000000000000000000000000110000000000000000001100000000000000000000000000000 Hunter
M 000000000000000000000110000011110000011000100000111100000100001000001111000001000011000001100000110000011000011000011000000011000110001100000000011001100110000000000011111111000000000000000110000000000000000001100000000000011000011000011000000110000110000110000000000001100000000000000000011000000000000000000110000000000000000001100000000000011000011000011000000110000110000110000000000001100000000000000000011000000000000000000110000000000000000001100000000000011000011000011000000110000110000110000000000001100000000000000000011000000000000000000100000000000000000001000000000000000000000000000000 Impurity
M 000000000000000000000000000000000000000000000110000001100000000001100000011000000000000000000000000000000000000000000000110001100110011000111110011001100110011101110110000001101110001111100000011111000001111100001111100000001111111111110000000001111111111000000000011001100110000000000110011001100000000001100110011000000000011001100110000000000110011001100000000001100110011000000000011001100110000000000110011001100000000001100110011000000000011001100110000000000110011001100000000001100110011000000000001001100100000000000000001000000000000000000010000000000000000000000000000000000000000000000000 FormlessOedon
M 000000000000000000000000000010000000000000000001100000000000000000001000100000000000000010010000000000110000101100000000001110001001000000000000100010010000000000001001000100000000000010010001011110000000100100010010010000001001000100100010000010010001001000100001000100010010010001111111111111111000001100110001001000000011000100010010000000110001000100100000001100010001001000000001000100010010000000010001000101000000000100010001010000000000000100010010000000000001000000100000000000010000001000000000000100000010000000000000000000100000000000000000001000000000000000000010000000000000000000000000 Milkweed
M 000000000000000000000000000011100000000000000011000110000000000001000000010000000000010000000100000000001000000000100000000010000000001000000000000000000010000000000000000001000000000000000000010000000000111000001000010000110001100010000010010000000101000000011000000000110000000110000000001010000001100000000100011000100100000010000001110000000001000000000000000000010000000000000000001000000000000000000010000000000000000001000000000000000000010000000000000000000100000000000000000001000000000000000000001000000000000000000010000000100000000000011000110000000000000001110000000000000000000000000000 ClockwiseMetamorphosis
M 000000000000000000000000000001110000000000000001100011000000000000100000001000000000001000000010000000000100000000010000000001000000000100000000010000000000000000000010000000000000000000100000000000000010000100000111000001000001000110001100100000001010000000101000000011000000000110000001010000000001010001100010000000010011100000010000001000000000000010000000000000000000100000000000000000000100000000000000000001000000000000000000001000000000000000000010000000000000000000100000000000000000001000000000000000000100000000000100000001000000000000110001100000000000000011100000000000000000000000000000 Anti-ClockwiseMetamorphosis
M 000000100000001000000000010000000001000000000010000000010000000000110000001100000100000100000110000001000001000001000000001000010000100000100011000100001000001000011001000100000100000011001001000001000000011010100001100000000011111011100000010000001111000000000100000111111000100000100110010011110000000110000100000000000000000001100000000000000000001000000000000000000010000000000000000001100000000000000000110000000000000000001000000000000000000110000000000000000001000000000000000000010011000000000000000101001000000000000001000001000000000000001110100000000000000000110000000000000000000100000000 Beast
N 000000000001000000000001100000000000000000110000000000010000001000000010000010000000010000000000100010100110000001001001000000110001000110000000000110000111000001001000111111000000000000000111000000000000000011011000011000000001100110000000000000110000110000000011111000000100000000000000000011000000000000000000010000000000000000001000000000000000000110000000000000000001000000000000000000110000000000000001001000000000000100001110000000000010000001001000000000100000010001000000000000000100010000000000000001000100000000000000011011001000000000000011100000000000000000100010000001000000001000100000 Guidance
N 000000000000000000000001100100000000000000100000000000010010001000000000000010000000010000000000100000000110000000001000000000110000000110000000000010000111100000000000111110000000010000100110000000000000000001010010000000000001100110000000000000110100110000000011110000000100000000000000000001001000000000000000110000000000000010001000110000000000000110000100000000000001010000100000000000110000000000000000001010000000000000000111001000000000000001001000000000000010010001000000000000000100010000000000000001000100000000000000011011001000000000001011100000000000000010000000100000010001000000000000 Guidance
